City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
260,avarua,-21.2078,-159.775,30.03,79,40,5.14,CK,1742168387
261,iskateley,67.6803,53.1512,-10.83,90,77,5.73,RU,1742168388
262,banda aceh,5.5577,95.3222,25.27,84,67,3.78,ID,1742168391
263,tadine,-21.55,167.8833,26.03,82,100,3.65,NC,1742168392
264,sur,22.5667,59.5289,23.08,40,3,3.93,OM,1742168393
265,port lincoln,-34.7333,135.8667,17.59,52,11,7.9,AU,1742168394
266,sanming,26.2486,117.6186,9.29,79,68,1.16,CN,1742168395
267,walvis bay,-22.9575,14.5053,16.53,88,3,5.66,NA,1742168396
268,makeni,8.8833,-12.05,25.56,61,89,1.35,SL,1742168397
269,haugesund,59.4138,5.268,-1.86,80,13,1.03,NO,1742168399
270,petawawa,45.9001,-77.3328,7.02,84,99,5.89,CA,1742168400
271,virginia,37.5481,-77.4467,19.67,87,100,6.17,US,1742168401
272,vorgashor,67.5833,63.95,-5.11,94,100,7.86,RU,1742168402
273,presidente medici,-11.1753,-61.9014,24.85,92,65,0.44,BR,1742168403
274,rongelap,11.1635,166.8941,26.77,82,19,9.99,MH,1742168404
275,ornskoldsvik,63.2909,18.7153,-3.47,63,11,6.17,SE,1742168406
276,riachao das neves,-11.7461,-44.91,27.02,52,59,1.78,BR,1742168407
277,imbituba,-28.24,-48.6703,20.46,89,10,1.57,BR,1742168408
278,fortuna,40.5982,-124.1573,10.51,87,20,4.63,US,1742168409
279,tosontsengel,48.7567,98.2839,-24.82,99,47,0.21,MN,1742168410
280,coquitlam,49.283,-122.7526,8.91,70,100,3.6,CA,1742168102
281,dharamsala,32.2419,76.3213,5.16,65,34,4.96,IN,1742168414
282,nyzhni sirohozy,46.8484,34.3804,8.21,76,83,5.3,UA,1742168415
283,cidreira,-30.1811,-50.2056,23.2,76,17,6.35,BR,1742168416
284,thunder bay,48.4001,-89.3168,-0.01,32,20,5.66,CA,1742168175
285,ribeira brava,32.65,-17.0667,17.62,71,58,9.15,PT,1742168419
286,chonchi,-42.6128,-73.8092,14.51,88,99,0.98,CL,1742168420
287,vadso,70.0744,29.7487,-7.91,79,20,6.17,NO,1742168421
288,zemio,5.0314,25.1361,24.83,61,96,1.95,CF,1742168422
289,upington,-28.4478,21.2561,20.21,77,20,2.06,ZA,1742168423
290,al jawf,29.5,38.75,18.91,32,0,2.84,SA,1742168424
291,alofi,-19.0595,-169.9187,29.94,74,40,6.17,NU,1742168427
292,kismayo,-0.3582,42.5454,26.13,81,80,4.22,SO,1742168428
293,kapuskasing,49.4169,-82.4331,-9.95,85,75,5.66,CA,1742168278
294,uttarkashi,30.7333,78.45,4.68,55,19,3.28,IN,1742168432
295,akrehamn,59.2667,5.1833,-1.86,80,18,1.03,NO,1742168433
296,hola,51.5377,23.1902,0.51,78,82,3.25,PL,1742168434
297,ginir,7.1333,40.7,17.49,55,50,1.56,ET,1742168435
298,selfoss,63.9331,-20.9971,5.96,88,100,3.26,IS,1742168436
299,huarmey,-10.0681,-78.1522,23.0,79,98,5.17,PE,1742168437
300,port douglas,-16.4833,145.4667,24.89,97,100,2.86,AU,1742168439
301,pradopolis,-21.3594,-48.0656,21.32,97,40,2.56,BR,1742168440
302,hotan,37.0997,79.9269,3.25,27,0,0.8,CN,1742168441
303,san luis de la loma,17.2706,-100.8939,26.75,62,82,2.25,MX,1742168436
304,launceston,-41.45,147.1667,12.8,54,6,3.09,AU,1742168443
